ticker,year,avg_price,max_price,min_price
HDFC Bank,2020,787.88,1054.02,395.48
HDFC Bank,2021,999.51,1243.02,835.2
HDFC Bank,2022,1152.05,1283.07,1017.18
HDFC Bank,2023,1153.91,1297.3,1004.86
HDFC Bank,2024,1415.25,1589.14,1200.51
ITC,2020,1945.85,2536.84,1403.24
ITC,2021,2922.3,3454.15,2510.28
ITC,2022,2994.83,3517.31,2638.85
ITC,2023,3091.89,3547.73,2803.4
ITC,2024,3808.68,4253.91,3369.29
Infosys,2020,757.08,1105.51,452.36
Infosys,2021,1363.88,1699.22,1090.76
Infosys,2022,1441.14,1741.1,1238.75
Infosys,2023,1312.58,1486.04,1122.01
Infosys,2024,1628.95,1942.22,1328.67
Reliance,2020,143.34,177.15,107.23
Reliance,2021,172.24,212.36,154.59
Reliance,2022,241.33,306.04,171.31
Reliance,2023,369.46,433.95,277.45
Reliance,2024,414.95,476.59,361.08
TCS,2020,533.86,682.82,363.57
TCS,2021,717.7,803.21,647.42
TCS,2022,700.41,799.82,616.52
TCS,2023,780.2,841.09,712.22
TCS,2024,790.62,923.39,673.6
