ticker,year,month,avg_monthly_price
HDFC Bank,2020,1,678.7
HDFC Bank,2020,2,644.56
HDFC Bank,2020,3,492.74
HDFC Bank,2020,4,568.9
HDFC Bank,2020,5,659.26
HDFC Bank,2020,6,737.11
HDFC Bank,2020,7,879.49
HDFC Bank,2020,8,957.1
HDFC Bank,2020,9,1004.07
HDFC Bank,2020,10,980.25
HDFC Bank,2020,11,891.77
HDFC Bank,2020,12,897.04
HDFC Bank,2021,1,887.67
HDFC Bank,2021,2,911.96
HDFC Bank,2021,3,950.86
HDFC Bank,2021,4,889.31
HDFC Bank,2021,5,894.43
HDFC Bank,2021,6,994.43
HDFC Bank,2021,7,951.57
HDFC Bank,2021,8,979.78
HDFC Bank,2021,9,1103.56
HDFC Bank,2021,10,1197.21
HDFC Bank,2021,11,1129.08
HDFC Bank,2021,12,1086.78
HDFC Bank,2022,1,1115.59
HDFC Bank,2022,2,1077.47
HDFC Bank,2022,3,1119.22
HDFC Bank,2022,4,1216.06
HDFC Bank,2022,5,1167.81
HDFC Bank,2022,6,1194.32
HDFC Bank,2022,7,1106.05
HDFC Bank,2022,8,1189.7
HDFC Bank,2022,9,1143.56
HDFC Bank,2022,10,1112.51
HDFC Bank,2022,11,1188.51
HDFC Bank,2022,12,1189.25
HDFC Bank,2023,1,1128.53
HDFC Bank,2023,2,1080.31
HDFC Bank,2023,3,1044.72
HDFC Bank,2023,4,1074.4
HDFC Bank,2023,5,1125.24
HDFC Bank,2023,6,1148.56
HDFC Bank,2023,7,1243.36
HDFC Bank,2023,8,1239.84
HDFC Bank,2023,9,1193.69
HDFC Bank,2023,10,1145.45
HDFC Bank,2023,11,1167.04
HDFC Bank,2023,12,1240.63
HDFC Bank,2024,1,1338.09
HDFC Bank,2024,2,1451.72
HDFC Bank,2024,3,1452.6
HDFC Bank,2024,4,1457.3
HDFC Bank,2024,5,1423.9
HDFC Bank,2024,6,1459.58
HDFC Bank,2024,7,1539.19
HDFC Bank,2024,8,1476.91
HDFC Bank,2024,9,1478.18
HDFC Bank,2024,10,1358.19
HDFC Bank,2024,11,1276.86
HDFC Bank,2024,12,1258.22
ITC,2020,1,1860.5
ITC,2020,2,1826.17
ITC,2020,3,1571.52
ITC,2020,4,1537.14
ITC,2020,5,1668.42
ITC,2020,6,1769.25
ITC,2020,7,1909.15
ITC,2020,8,1947.82
ITC,2020,9,2069.64
ITC,2020,10,2346.25
ITC,2020,11,2314.99
ITC,2020,12,2441.28
ITC,2021,1,2750.95
ITC,2021,2,2693.78
ITC,2021,3,2662.72
ITC,2021,4,2756.55
ITC,2021,5,2694.27
ITC,2021,6,2839.84
ITC,2021,7,2814.83
ITC,2021,8,3041.45
ITC,2021,9,3348.97
ITC,2021,10,3182.11
ITC,2021,11,3057.1
ITC,2021,12,3177.75
ITC,2022,1,3369.3
ITC,2022,2,3258.32
ITC,2022,3,3193.6
ITC,2022,4,3188.47
ITC,2022,5,2965.47
ITC,2022,6,2904.9
ITC,2022,7,2798.84
ITC,2022,8,2939.77
ITC,2022,9,2730.12
ITC,2022,10,2763.08
ITC,2022,11,2935.06
ITC,2022,12,2934.89
ITC,2023,1,3009.11
ITC,2023,2,3141.45
ITC,2023,3,2927.25
ITC,2023,4,2890.22
ITC,2023,5,2962.14
ITC,2023,6,2952.13
ITC,2023,7,3087.51
ITC,2023,8,3132.98
ITC,2023,9,3233.4
ITC,2023,10,3208.96
ITC,2023,11,3151.14
ITC,2023,12,3404.63
ITC,2024,1,3500.47
ITC,2024,2,3765.71
ITC,2024,3,3743.71
ITC,2024,4,3611.89
ITC,2024,5,3590.93
ITC,2024,6,3566.36
ITC,2024,7,3888.24
ITC,2024,8,4084.21
ITC,2024,9,4117.08
ITC,2024,10,3868.01
ITC,2024,11,3890.74
ITC,2024,12,4047.67
Infosys,2020,1,653.44
Infosys,2020,2,672.31
Infosys,2020,3,552.13
Infosys,2020,4,554.1
Infosys,2020,5,582.85
Infosys,2020,6,619.08
Infosys,2020,7,749.24
Infosys,2020,8,828.17
Infosys,2020,9,847.14
Infosys,2020,10,962.23
Infosys,2020,11,977.78
Infosys,2020,12,1042.65
Infosys,2021,1,1159.36
Infosys,2021,2,1130.12
Infosys,2021,3,1187.68
Infosys,2021,4,1214.48
Infosys,2021,5,1191.68
Infosys,2021,6,1310.85
Infosys,2021,7,1401.49
Infosys,2021,8,1508.81
Infosys,2021,9,1515.99
Infosys,2021,10,1529.97
Infosys,2021,11,1557.72
Infosys,2021,12,1611.25
Infosys,2022,1,1641.95
Infosys,2022,2,1552.18
Infosys,2022,3,1647.81
Infosys,2022,4,1520.43
Infosys,2022,5,1347.34
Infosys,2022,6,1327.14
Infosys,2022,7,1347.21
Infosys,2022,8,1421.87
Infosys,2022,9,1299.59
Infosys,2022,10,1341.16
Infosys,2022,11,1446.17
Infosys,2022,12,1425.74
Infosys,2023,1,1388.1
Infosys,2023,2,1442.54
Infosys,2023,3,1310.88
Infosys,2023,4,1202.29
Infosys,2023,5,1172.86
Infosys,2023,6,1200.3
Infosys,2023,7,1271.4
Infosys,2023,8,1300.41
Infosys,2023,9,1373.37
Infosys,2023,10,1334.37
Infosys,2023,11,1332.18
Infosys,2023,12,1424.93
Infosys,2024,1,1501.05
Infosys,2024,2,1582.54
Infosys,2024,3,1490.78
Infosys,2024,4,1371.31
Infosys,2024,5,1355.44
Infosys,2024,6,1440.82
Infosys,2024,7,1669.86
Infosys,2024,8,1769.91
Infosys,2024,9,1840.28
Infosys,2024,10,1821.13
Infosys,2024,11,1790.31
Infosys,2024,12,1880.31
Reliance,2020,1,173.07
Reliance,2020,2,151.16
Reliance,2020,3,121.5
Reliance,2020,4,131.97
Reliance,2020,5,126.75
Reliance,2020,6,140.81
Reliance,2020,7,150.21
Reliance,2020,8,150.91
Reliance,2020,9,138.36
Reliance,2020,10,128.91
Reliance,2020,11,140.98
Reliance,2020,12,159.01
Reliance,2021,1,161.48
Reliance,2021,2,168.83
Reliance,2021,3,166.83
Reliance,2021,4,163.74
Reliance,2021,5,163.32
Reliance,2021,6,166.15
Reliance,2021,7,166.15
Reliance,2021,8,169.25
Reliance,2021,9,182.31
Reliance,2021,10,193.35
Reliance,2021,11,185.73
Reliance,2021,12,179.1
Reliance,2022,1,177.6
Reliance,2022,2,183.58
Reliance,2022,3,198.78
Reliance,2022,4,216.18
Reliance,2022,5,220.97
Reliance,2022,6,228.05
Reliance,2022,7,250.74
Reliance,2022,8,264.7
Reliance,2022,9,281.96
Reliance,2022,10,286.76
Reliance,2022,11,294.13
Reliance,2022,12,286.27
Reliance,2023,1,284.61
Reliance,2023,2,324.61
Reliance,2023,3,329.1
Reliance,2023,4,345.27
Reliance,2023,5,371.68
Reliance,2023,6,392.9
Reliance,2023,7,416.29
Reliance,2023,8,396.59
Reliance,2023,9,393.38
Reliance,2023,10,389.04
Reliance,2023,11,384.59
Reliance,2023,12,401.66
Reliance,2024,1,408.96
Reliance,2024,2,370.64
Reliance,2024,3,372.89
Reliance,2024,4,384.07
Reliance,2024,5,387.96
Reliance,2024,6,389.76
Reliance,2024,7,423.15
Reliance,2024,8,453.44
Reliance,2024,9,467.74
Reliance,2024,10,449.18
Reliance,2024,11,433.21
Reliance,2024,12,428.88
TCS,2020,1,595.62
TCS,2020,2,578.31
TCS,2020,3,465.33
TCS,2020,4,432.29
TCS,2020,5,424.67
TCS,2020,6,479.96
TCS,2020,7,517.06
TCS,2020,8,505.8
TCS,2020,9,511.58
TCS,2020,10,566.34
TCS,2020,11,644.55
TCS,2020,12,662.64
TCS,2021,1,684.49
TCS,2021,2,745.65
TCS,2021,3,720.77
TCS,2021,4,676.73
TCS,2021,5,684.43
TCS,2021,6,707.55
TCS,2021,7,702.86
TCS,2021,8,720.27
TCS,2021,9,748.86
TCS,2021,10,777.69
TCS,2021,11,736.09
TCS,2021,12,706.54
TCS,2022,1,724.32
TCS,2022,2,711.09
TCS,2022,3,676.88
TCS,2022,4,688.33
TCS,2022,5,640.82
TCS,2022,6,647.1
TCS,2022,7,663.43
TCS,2022,8,706.1
TCS,2022,9,710.31
TCS,2022,10,692.63
TCS,2022,11,758.99
TCS,2022,12,783.05
TCS,2023,1,779.4
TCS,2023,2,788.29
TCS,2023,3,762.1
TCS,2023,4,802.73
TCS,2023,5,797.79
TCS,2023,6,788.85
TCS,2023,7,813.92
TCS,2023,8,783.41
TCS,2023,9,771.46
TCS,2023,10,737.3
TCS,2023,11,733.14
TCS,2023,12,804.16
TCS,2024,1,770.1
TCS,2024,2,691.71
TCS,2024,3,702.39
TCS,2024,4,737.14
TCS,2024,5,731.71
TCS,2024,6,796.71
TCS,2024,7,810.01
TCS,2024,8,805.21
TCS,2024,9,834.46
TCS,2024,10,837.24
TCS,2024,11,862.83
TCS,2024,12,902.43
